,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,split
6381, 2 Series,2019,23870,Semi-Auto,2513,Diesel,145,49.6,2.0,0.8031164713215405
6382, 3 Series,2019,27180,Semi-Auto,3763,Petrol,145,42.2,2.0,-0.9276158974424075
6383, 1 Series,2019,25490,Semi-Auto,2510,Diesel,145,51.4,2.0,3.200909793580335
6384, X2,2019,27670,Semi-Auto,2480,Petrol,145,38.7,2.0,-1.5938114601099524
6385, 5 Series,2019,27840,Semi-Auto,3829,Petrol,145,50.4,2.0,-1.8269555924977268
6389, 3 Series,2017,23942,Automatic,16374,Petrol,145,47.1,2.0,0.6672562918583371
6392, M4,2015,30662,Semi-Auto,41120,Petrol,300,34.0,3.0,-0.34709101304926315
6395, 3 Series,2014,16882,Semi-Auto,41083,Diesel,125,57.6,3.0,0.7568606246268192
6397, X3,2019,34991,Semi-Auto,7646,Petrol,150,30.4,2.0,-1.8878896630869284
6398, 2 Series,2019,22991,Semi-Auto,7755,Diesel,150,65.7,2.0,0.9800469674665927
6399, X3,2019,34551,Semi-Auto,7289,Petrol,150,30.4,2.0,-1.6130335641743363
6403, 2 Series,2019,25404,Semi-Auto,111,Diesel,145,65.7,2.0,-0.942071650205484
6405, 2 Series,2019,22594,Semi-Auto,8410,Diesel,145,48.7,2.0,-0.14619515890836177
6406, X2,2019,34173,Semi-Auto,4500,Petrol,145,34.0,2.0,-0.3406432964595647
6407, X3,2019,33292,Semi-Auto,6500,Diesel,145,54.3,2.0,0.12053539790490068
6408, 2 Series,2019,24012,Semi-Auto,5000,Diesel,145,49.6,2.0,2.6502865568066767
6409, 4 Series,2019,24522,Semi-Auto,11923,Petrol,145,48.7,2.0,0.4132344880057978
6412, 2 Series,2019,23441,Semi-Auto,8683,Petrol,150,47.9,2.0,0.4566897846924055
6415, 3 Series,2018,22395,Semi-Auto,6502,Petrol,150,48.7,2.0,-0.09097634940265426
6416, X1,2019,24926,Automatic,4991,Diesel,145,60.1,2.0,-1.4684883839435323
6417, X2,2019,23726,Automatic,8848,Petrol,145,38.7,2.0,-1.0268312475629486
6419, 3 Series,2013,11632,Manual,27371,Petrol,160,44.8,2.0,1.2766096409160852
6420, 3 Series,2018,22482,Automatic,8850,Diesel,145,60.1,2.0,1.4034742812123293
6421, 3 Series,2017,21972,Semi-Auto,21870,Diesel,145,53.3,3.0,-0.4986557938990148
6422, 3 Series,2019,26484,Semi-Auto,10200,Petrol,145,41.5,2.0,-0.07468614409746364
6423, 4 Series,2018,24662,Semi-Auto,2422,Petrol,145,45.6,2.0,1.634078252864893
6424, 1 Series,2019,21145,Semi-Auto,6776,Petrol,145,47.9,2.0,-0.4729538547466217
6426, 2 Series,2019,22305,Semi-Auto,7978,Petrol,145,47.9,2.0,0.9297221636582248
6427, 2 Series,2019,23806,Semi-Auto,8257,Petrol,145,47.9,2.0,0.8265628852118101
6429, 3 Series,2019,24886,Automatic,7469,Petrol,145,43.5,2.0,0.7475868368481863
6430, 2 Series,2019,24494,Semi-Auto,5499,Petrol,145,47.9,2.0,-1.4180354095428835
6431, 2 Series,2019,22406,Automatic,7899,Petrol,145,47.9,2.0,0.3250460911485355
6432, 2 Series,2016,19995,Semi-Auto,15422,Petrol,205,43.5,2.0,-1.136116103426517
6434, X6,2016,31995,Semi-Auto,39026,Diesel,205,47.1,3.0,0.4275741414741411
6436, X1,2019,24474,Semi-Auto,9044,Petrol,145,40.9,1.5,-0.8038347890054447
6437, X3,2019,34000,Automatic,5000,Diesel,145,54.3,2.0,-0.003150294334728588
6438, 3 Series,2019,29985,Automatic,5000,Diesel,145,52.3,2.0,0.31573645364866126
6439, 3 Series,2019,29500,Automatic,3185,Petrol,145,42.2,2.0,-1.6361003546460928
6440, 5 Series,2020,35995,Semi-Auto,1000,Petrol,145,46.3,2.0,-0.5502161357260602
6442, 2 Series,2019,21274,Semi-Auto,9792,Petrol,145,38.7,1.5,0.39866133156261463
6443, 2 Series,2019,21376,Automatic,8005,Petrol,145,38.7,1.5,-0.36332564255803085
6446, X7,2019,78386,Automatic,1793,Diesel,145,31.4,3.0,1.2661963906724985
6447, 3 Series,2019,26524,Semi-Auto,11727,Petrol,145,41.5,2.0,-1.0380336667354522
6448, 5 Series,2019,28495,Automatic,677,Petrol,145,50.4,2.0,-1.2054335085812655
6450, 5 Series,2016,18672,Semi-Auto,25458,Diesel,145,55.4,3.0,0.8404531944299901
6451, 1 Series,2020,11995,Semi-Auto,10,Petrol,150,34.5,2.0,0.6083041098089331
6453, 1 Series,2015,8998,Manual,51342,Diesel,0,83.1,1.5,-0.8684083117847258
6454, X1,2017,16333,Manual,24050,Diesel,125,58.9,2.0,-0.3164860937268311
6456, 3 Series,2019,22482,Semi-Auto,10571,Diesel,145,62.8,2.0,-0.984994320355667
6457, X2,2019,28874,Semi-Auto,5000,Diesel,145,58.9,2.0,-0.3343394697246865
6458, 3 Series,2019,24404,Semi-Auto,2571,Diesel,145,62.8,2.0,-2.7029719994309565
6459, 5 Series,2019,29042,Semi-Auto,3506,Diesel,145,62.8,2.0,-0.22162903586226443
6461, 2 Series,2019,24054,Semi-Auto,7460,Petrol,145,47.9,2.0,0.7216193538598755
6462, X1,2019,24485,Semi-Auto,9708,Petrol,145,46.3,1.5,-0.7231904489838352
6463, 3 Series,2019,29500,Automatic,5000,Petrol,145,42.2,2.0,0.23752237301665002
6465, 1 Series,2019,31000,Semi-Auto,9888,Petrol,145,34.5,2.0,-0.8895570659194326
6467, M4,2019,48500,Semi-Auto,125,Petrol,145,32.5,3.0,-0.7487155636192776
6468, 2 Series,2019,25500,Automatic,5000,Petrol,145,40.9,1.5,-0.13913001084916882
6469, 4 Series,2017,22250,Semi-Auto,16613,Diesel,145,50.4,3.0,0.2571011662197266
6473, 5 Series,2020,30995,Semi-Auto,1000,Diesel,145,65.7,2.0,0.8043836917916406
6474, 5 Series,2019,32995,Automatic,2000,Diesel,145,60.1,2.0,-1.2839217592997345
6475, 3 Series,2015,14995,Automatic,34466,Petrol,125,51.4,2.0,0.7175133458948231
6476, X1,2018,24995,Automatic,8493,Petrol,145,44.8,2.0,-0.0942367037879057
6477, 8 Series,2019,62995,Automatic,5883,Petrol,145,33.6,3.0,-0.8536051254008071
6478, 2 Series,2017,15995,Manual,30310,Petrol,125,52.3,1.5,0.20131325340947373
6480, 5 Series,2016,16495,Semi-Auto,40008,Diesel,30,62.8,2.0,-1.7571295606986064
6481, 3 Series,2019,26995,Automatic,2407,Diesel,145,57.6,2.0,-1.27623091292291
6482, 5 Series,2019,28995,Automatic,13,Petrol,145,50.4,2.0,0.10266120281386916
6483, 3 Series,2019,27995,Automatic,11204,Petrol,145,41.5,2.0,-1.743044471210727
6486, M5,2016,30181,Semi-Auto,26000,Petrol,565,28.5,4.4,0.08597265496585735
6487, 3 Series,2019,30962,Semi-Auto,3523,Diesel,145,48.7,2.0,0.6601300217847368
6488, 5 Series,2017,26495,Semi-Auto,21704,Diesel,145,62.8,2.0,1.953597163797329
6492, 4 Series,2019,24995,Automatic,6963,Diesel,145,65.7,2.0,-0.0043998078984127265
6497, X3,2017,24995,Semi-Auto,27782,Diesel,150,54.3,2.0,-1.4995960045122667
6499, 3 Series,2019,26995,Semi-Auto,4183,Diesel,150,52.3,2.0,1.6530788578587132
6500, 3 Series,2019,27995,Semi-Auto,10334,Diesel,150,52.3,2.0,-1.265965583541111
6501, 5 Series,2019,38995,Semi-Auto,3383,Diesel,145,51.4,3.0,1.204993129217801
6502, 2 Series,2016,21995,Semi-Auto,22642,Petrol,260,35.8,3.0,-0.41821120117738997
6503, 5 Series,2017,28995,Semi-Auto,11035,Diesel,145,56.5,3.0,-0.46938543759603907
6504, 2 Series,2019,21995,Semi-Auto,3748,Petrol,145,47.9,2.0,1.1516093805944183
6505, 1 Series,2019,30995,Semi-Auto,3244,Petrol,145,34.5,2.0,-0.5710289653733484
6507, 1 Series,2019,22995,Manual,3000,Petrol,145,44.1,1.5,-0.6987390656321343
6508, X5,2016,28781,Automatic,35370,Diesel,205,47.1,3.0,-2.471147770511663
6509, 2 Series,2017,13990,Manual,24893,Petrol,150,53.3,1.5,-0.849329026071275
6511, X5,2018,51999,Semi-Auto,15633,Petrol,145,25.4,4.4,0.3876935630159958
6512, M5,2019,70686,Semi-Auto,3153,Petrol,145,24.1,4.4,1.7005804990690585
6513, X3,2019,35215,Semi-Auto,4169,Petrol,145,30.4,2.0,0.05423949533747975
6514, 2 Series,2019,23956,Automatic,10241,Diesel,145,49.6,2.0,0.2560772171805981
6515, 5 Series,2019,32995,Semi-Auto,1000,Diesel,145,60.1,2.0,0.9560825899731087
6516, X3,2019,59995,Semi-Auto,4741,Petrol,145,24.8,3.0,-0.1795467012324098
6517, 3 Series,2016,15995,Semi-Auto,39293,Diesel,30,62.8,2.0,0.6112094066424839
6519, 2 Series,2018,24995,Semi-Auto,10632,Petrol,145,39.8,3.0,-1.6388263096513511
6521, 1 Series,2019,19995,Semi-Auto,17546,Diesel,150,68.9,1.5,0.15545981707005974
6522, X4,2019,31995,Semi-Auto,7974,Diesel,150,42.8,2.0,-0.019091692980612206
6523, X1,2018,23995,Semi-Auto,14409,Petrol,150,40.9,1.5,-0.3735154149835751
6524, 4 Series,2020,29995,Semi-Auto,100,Diesel,145,55.4,3.0,1.3549302991623011
6525, 3 Series,2020,32995,Manual,2356,Diesel,145,54.3,2.0,0.22343268785805562
6526, 3 Series,2020,27995,Manual,1000,Diesel,145,54.3,2.0,1.0651334771983485
6527, 5 Series,2017,29995,Semi-Auto,36107,Diesel,145,51.4,3.0,-0.30363904582804857
6528, 1 Series,2017,22995,Semi-Auto,24000,Petrol,145,39.8,3.0,0.8882726166911549
6529, 3 Series,2017,16995,Semi-Auto,14404,Diesel,145,67.3,2.0,0.869939296004368
6532, 2 Series,2019,24995,Automatic,4740,Diesel,145,61.4,2.0,1.4689425292171847
6533, 3 Series,2020,38995,Semi-Auto,1000,Diesel,145,49.6,2.0,-1.764276981432707
6534, X6,2015,27995,Semi-Auto,40915,Diesel,200,44.8,3.0,0.29253765969319817
6535, 3 Series,2019,33995,Semi-Auto,4953,Hybrid,135,8.8,2.0,0.19941849427605096
6536, X5,2017,35995,Automatic,11197,Diesel,200,47.1,3.0,-1.1025074659840837
6537, 5 Series,2019,35995,Semi-Auto,11567,Hybrid,135,156.9,2.0,-1.8943503704746878
6538, 2 Series,2016,14995,Semi-Auto,42026,Petrol,145,48.7,2.0,0.38383971808642997
6539, X4,2020,43995,Semi-Auto,2000,Petrol,145,26.9,3.0,0.5903630310095921
6540, 2 Series,2020,25995,Semi-Auto,1000,Petrol,145,40.9,1.5,0.9292709231636621
6541, 1 Series,2017,16995,Manual,34003,Petrol,145,46.3,2.0,-0.30518279741658483
6543, 1 Series,2017,23995,Semi-Auto,7409,Petrol,145,39.8,3.0,-0.5893151007986248
6544, 5 Series,2017,26995,Automatic,22379,Diesel,145,60.1,3.0,0.23165921063191997
6545, 1 Series,2016,14995,Semi-Auto,15684,Petrol,30,55.5,1.5,0.003059673782964347
6546, 2 Series,2019,26995,Automatic,8205,Petrol,145,32.5,3.0,-0.34890007196166073
6549, X1,2018,23995,Semi-Auto,16876,Diesel,145,47.1,2.0,-0.14586421167781194
6550, X5,2016,36995,Automatic,36631,Diesel,235,42.8,3.0,1.6014194051824797
6551, X3,2018,32995,Semi-Auto,30776,Diesel,145,48.7,3.0,-2.036594224508711
6552, 1 Series,2017,21495,Semi-Auto,33311,Petrol,200,39.8,3.0,1.0686870864560016
6555, X1,2018,25995,Automatic,17369,Diesel,145,60.1,2.0,-0.5701870927895434
6556, 4 Series,2019,25995,Automatic,1000,Diesel,145,65.7,2.0,-1.7923701227244992
6558, X1,2016,21000,Automatic,13553,Petrol,160,44.8,2.0,-1.171691028522034
6559, X6,2018,39994,Semi-Auto,15119,Diesel,145,40.9,3.0,-0.21453827650606422
6560, X2,2018,28494,Semi-Auto,13314,Diesel,145,58.9,2.0,0.2656116492348473
6561, 3 Series,2017,17994,Semi-Auto,19452,Petrol,150,45.6,2.0,0.024873853837504303
6562, 1 Series,2017,18494,Semi-Auto,17129,Petrol,150,47.9,2.0,2.254268534486247
6565, 5 Series,2014,15995,Semi-Auto,34682,Diesel,125,60.1,2.0,0.028608196958087233
6566, 7 Series,2016,24995,Semi-Auto,24446,Petrol,205,41.5,3.0,-0.34760469461995946
6567, 3 Series,2017,21500,Semi-Auto,47896,Diesel,200,49.6,3.0,-0.6837396078530638
6568, 1 Series,2017,19990,Automatic,24092,Petrol,145,39.8,3.0,-0.7545486669740162
6569, X3,2015,19599,Semi-Auto,44126,Diesel,200,47.1,3.0,-0.9483517326744071
6570, 4 Series,2018,26500,Semi-Auto,10305,Petrol,150,41.5,3.0,-1.1923250489008792
6571, 1 Series,2014,11995,Semi-Auto,23000,Petrol,125,50.4,1.6,-1.010457175912719
6573, 1 Series,2017,15495,Semi-Auto,6200,Petrol,145,55.5,1.5,-0.3599656055505134
6574, 1 Series,2019,18995,Semi-Auto,5975,Petrol,145,55.5,1.5,-1.360373791840067
6575, 4 Series,2019,25995,Semi-Auto,13309,Diesel,145,60.1,2.0,0.10165448370384493
6582, X5,2019,45994,Automatic,4943,Diesel,145,37.7,3.0,0.9459645798970846
6583, 1 Series,2019,26995,Manual,2771,Petrol,150,41.5,1.5,0.3325303572534229
6585, 5 Series,2019,27916,Automatic,6456,Diesel,145,60.1,2.0,-0.580312147913053
6586, X3,2019,31116,Automatic,8186,Diesel,145,54.3,2.0,-2.9948850890367984
6587, X5,2019,43796,Automatic,6742,Diesel,145,37.7,3.0,1.0394479576384763
6589, X5,2019,46740,Automatic,4399,Diesel,145,37.7,3.0,-1.2060709176345201
6590, 8 Series,2019,73890,Semi-Auto,3369,Petrol,150,26.7,4.4,0.5322835475215631
6591, 3 Series,2019,37995,Semi-Auto,3437,Petrol,145,41.5,2.0,0.9115566126264164
6593, 3 Series,2019,33994,Semi-Auto,296,Diesel,145,49.6,2.0,2.0628163458584052
6598, X3,2019,31986,Automatic,8998,Diesel,145,54.3,2.0,-0.13918985979153325
6599, X5,2019,47156,Automatic,6480,Diesel,145,37.7,3.0,-0.5744935879861699
6600, 3 Series,2019,26826,Automatic,7015,Petrol,145,41.5,3.0,-0.40457802027892154
6601, 3 Series,2016,16500,Semi-Auto,41345,Diesel,150,56.5,3.0,0.8114651537258469
6602, X1,2017,14600,Manual,40831,Diesel,145,68.9,2.0,0.7156598182315612
6603, X5,2019,43706,Automatic,8093,Diesel,145,37.7,3.0,0.8098784242085285
6604, X5,2019,43706,Automatic,8204,Diesel,145,37.7,3.0,-0.4950925123028071
6607, 1 Series,2019,20732,Semi-Auto,965,Petrol,145,54.3,1.5,-0.18462875614865978
6609, 2 Series,2018,17995,Semi-Auto,17421,Diesel,145,60.1,2.0,-0.2559428626563806
6610, 6 Series,2016,22910,Semi-Auto,25596,Diesel,200,49.6,3.0,-2.3793145998044642
6611, 3 Series,2015,10370,Semi-Auto,75238,Petrol,125,54.3,1.5,-0.26210191088808926
6612, X1,2015,15560,Semi-Auto,40104,Diesel,125,57.6,2.0,2.2964012957144053
6613, 4 Series,2013,11040,Manual,78402,Diesel,125,57.6,2.0,1.122194724726962
6614, 1 Series,2015,7540,Manual,79999,Diesel,0,83.1,1.5,0.11736698741698028
6615, 1 Series,2017,17500,Semi-Auto,23863,Petrol,145,47.9,2.0,-0.24496640823005747
6616, X1,2016,21200,Automatic,6341,Petrol,160,44.8,2.0,0.7459628303047517
6618, X5,2019,47632,Semi-Auto,13156,Diesel,145,37.7,3.0,0.39038663779320565
6619, X3,2019,33952,Semi-Auto,5974,Diesel,145,54.3,2.0,2.4529651061628726
6621, X5,2019,48143,Semi-Auto,9115,Diesel,145,37.7,3.0,0.5186587635142018
6622, 1 Series,2016,17052,Semi-Auto,16264,Diesel,30,65.7,2.0,1.0728059448890268
6630, X3,2019,35362,Semi-Auto,4186,Diesel,145,54.3,2.0,-0.8866360172351874
6631, X5,2019,51902,Semi-Auto,3224,Diesel,145,37.7,3.0,-0.5353567363233949
6632, 5 Series,2019,33562,Semi-Auto,2490,Diesel,145,60.1,2.0,-0.8953201523626013
6633, X5,2019,51232,Semi-Auto,5545,Diesel,145,37.7,3.0,1.6006214644236407
6634, X5,2019,51822,Semi-Auto,3465,Diesel,145,37.7,3.0,0.29204240418422
6635, 3 Series,2019,28413,Semi-Auto,6223,Diesel,145,52.3,2.0,0.34154141820574724
6639, 5 Series,2019,31995,Semi-Auto,6655,Diesel,145,60.1,2.0,0.46336671534654655
6640, X5,2019,48766,Automatic,5701,Diesel,145,37.7,3.0,0.08541096999848931
6641, 2 Series,2019,22490,Automatic,1500,Petrol,145,53.3,1.5,0.999997866063574
6644, X5,2019,45880,Semi-Auto,9000,Diesel,145,37.7,3.0,1.3548007943913967
6648, 3 Series,2019,30422,Semi-Auto,4429,Diesel,145,52.3,2.0,0.32874562470585367
6649, 1 Series,2019,26991,Semi-Auto,2343,Petrol,145,40.4,1.5,0.16010613313443828
6650, 5 Series,2019,31232,Semi-Auto,8691,Hybrid,150,60.1,2.0,0.10513009193889039
6651, 5 Series,2019,30902,Semi-Auto,11421,Hybrid,150,60.1,2.0,-0.5447892565942571
6652, 1 Series,2019,18022,Semi-Auto,2501,Petrol,150,55.5,1.5,0.5981761332457768
6653, X5,2019,50382,Semi-Auto,4846,Diesel,150,37.7,3.0,0.4970064714708095
6655, X5,2019,44266,Automatic,2308,Diesel,145,37.7,3.0,1.6288187185472114
6657, 1 Series,2019,30180,Automatic,5979,Diesel,145,48.7,2.0,-0.15285101791946137
6662, 5 Series,2019,28110,Semi-Auto,6659,Diesel,145,65.7,2.0,-0.03254984769223339
6663, X3,2019,31736,Automatic,6579,Diesel,145,54.3,2.0,-0.11276818500203413
6664, X3,2019,31196,Automatic,10155,Diesel,145,54.3,2.0,-0.8672181450545796
6665, 3 Series,2019,33470,Semi-Auto,4500,Diesel,145,49.6,2.0,0.20862021262390124
6666, 3 Series,2019,28220,Automatic,1500,Diesel,145,48.7,2.0,-0.4968172375987117
6667, 5 Series,2019,33900,Semi-Auto,3000,Diesel,145,56.5,3.0,-0.22372985395731262
6668, 5 Series,2019,28836,Automatic,2891,Diesel,145,60.1,2.0,-0.14076147209607737
6669, X4,2019,36390,Semi-Auto,8310,Diesel,145,42.8,2.0,0.8627155472852234
6670, 5 Series,2019,27876,Automatic,11598,Diesel,145,60.1,2.0,-0.7004430493772134
6674, X4,2019,38995,Automatic,8610,Diesel,145,40.9,3.0,-0.22813233310171652
6678, X5,2019,46996,Automatic,6891,Diesel,145,37.7,3.0,0.6682734813927316
6679, 4 Series,2019,27162,Automatic,4734,Petrol,145,48.7,2.0,-0.8786567075497508
6680, X1,2016,19161,Semi-Auto,21292,Diesel,125,57.6,2.0,-1.8777461060504947
6681, 5 Series,2016,15300,Semi-Auto,41052,Diesel,30,62.8,2.0,0.9581116650889255
6682, X3,2019,33262,Semi-Auto,6792,Diesel,145,54.3,2.0,-0.859683135263404
6683, X3,2019,33606,Automatic,6527,Diesel,145,54.3,2.0,-1.7883355666593188
6684, X5,2019,46496,Semi-Auto,11164,Diesel,145,37.7,3.0,-0.2544535816559198
6685, 2 Series,2019,21730,Automatic,5054,Petrol,145,39.2,1.5,-0.2436770046919411
6686, 3 Series,2019,24730,Semi-Auto,3049,Diesel,145,62.8,2.0,0.3942769244871362
6688, X5,2019,47902,Semi-Auto,6171,Diesel,145,37.7,3.0,-0.35394433924912616
6690, 1 Series,2019,22491,Semi-Auto,8000,Petrol,145,48.7,2.0,-0.1745060526940577
6692, 1 Series,2018,22072,Semi-Auto,7901,Diesel,145,47.9,2.0,0.5660458055178242
6694, 2 Series,2019,28640,Semi-Auto,4400,Petrol,145,46.3,2.0,1.092100761006954
6699, X5,2019,47213,Semi-Auto,9278,Diesel,145,37.7,3.0,2.957895226129895
6701, 1 Series,2015,13832,Semi-Auto,13600,Petrol,145,48.7,1.6,-1.172470605134191
6703, X1,2014,12901,Semi-Auto,65912,Diesel,165,52.3,2.0,-2.534750191186357
6706, X1,2017,20981,Semi-Auto,12224,Diesel,150,55.4,2.0,-0.4879015193849329
6708, 2 Series,2017,15261,Manual,14143,Diesel,150,74.3,1.5,-0.9496155464754961
6709, X1,2014,12991,Semi-Auto,49445,Diesel,150,56.5,2.0,-0.5812212367451077
6710, 2 Series,2017,19994,Automatic,15076,Petrol,145,45.6,2.0,1.4739546268262516
6711, 5 Series,2017,32995,Semi-Auto,23000,Diesel,150,51.4,3.0,-0.27528804554174935
6712, X5,2019,45463,Semi-Auto,5345,Diesel,145,37.7,3.0,-0.9261153633625537
6715, 5 Series,2019,32072,Semi-Auto,6215,Hybrid,145,60.1,2.0,-1.5862087478520384
6718, 3 Series,2015,21242,Semi-Auto,18283,Diesel,160,51.4,3.0,-1.0451325021089608
6719, X1,2019,23812,Automatic,15846,Petrol,145,37.7,2.0,0.3720779911971478
6721, 1 Series,2019,24995,Manual,5085,Petrol,150,41.5,1.5,0.728485293129547
6722, X3,2019,37495,Semi-Auto,9250,Diesel,150,48.7,3.0,-1.0591788451063509
6723, 1 Series,2019,21995,Manual,4869,Petrol,150,44.8,1.5,-0.3694890004863027
6724, 1 Series,2019,17495,Semi-Auto,12375,Diesel,145,72.4,1.5,-0.7038438958848835
6725, 4 Series,2016,21000,Semi-Auto,37000,Petrol,200,41.5,3.0,-0.1293616516985897
6728, X1,2016,20232,Semi-Auto,24592,Petrol,160,44.8,2.0,-1.2053363586354688
6729, X1,2019,29302,Semi-Auto,5795,Diesel,145,50.4,2.0,0.8918102017834335
6731, X2,2018,20306,Manual,5438,Diesel,145,52.3,2.0,-1.2404743817535218
6732, X2,2019,24352,Semi-Auto,3011,Petrol,145,38.7,2.0,0.022624057697863815
6733, M4,2018,39792,Semi-Auto,8797,Petrol,145,34.0,3.0,1.6214405189247116
6734, X2,2018,23146,Manual,3752,Diesel,145,49.6,2.0,-2.160120174839278
6735, 4 Series,2019,25400,Semi-Auto,7398,Petrol,145,48.7,2.0,0.6531940507622539
6736, 4 Series,2019,25400,Semi-Auto,6370,Diesel,145,65.7,2.0,1.1859705676365075
6738, X6,2019,66290,Automatic,1000,Petrol,145,26.4,3.0,0.3172627415772493
6739, X4,2019,43995,Semi-Auto,4742,Diesel,145,40.9,3.0,-1.6858401721819984
6740, 2 Series,2019,21995,Semi-Auto,3000,Petrol,145,42.2,1.5,-0.7747494177831248
6741, X2,2019,29995,Semi-Auto,1920,Diesel,145,50.4,2.0,-0.7431061550733059
6742, 1 Series,2019,26880,Semi-Auto,4210,Diesel,145,51.4,2.0,-1.3752207513206094
6745, 3 Series,2015,14952,Manual,31828,Petrol,200,43.5,2.0,-0.815047428248426
6747, 1 Series,2019,21500,Manual,3251,Petrol,145,44.1,1.5,1.8625685806850867
6750, 1 Series,2020,32995,Semi-Auto,2797,Petrol,145,34.5,2.0,-1.9837682274360164
6751, X1,2020,28995,Semi-Auto,1600,Petrol,145,37.7,1.5,0.7266246941426692
6754, X1,2019,27752,Semi-Auto,4475,Diesel,145,53.3,2.0,-0.6458569966125206
6755, 4 Series,2019,24622,Semi-Auto,2043,Diesel,145,65.7,2.0,1.2095205775951294
6759, 4 Series,2020,42495,Semi-Auto,18,Diesel,150,58.9,2.0,0.002331335681429521
6762, X1,2017,20481,Semi-Auto,17285,Diesel,145,60.1,2.0,0.417091730252956
6763, 4 Series,2019,31260,Automatic,3000,Petrol,145,45.6,2.0,-0.17330271991366664
6765, 1 Series,2019,20330,Semi-Auto,9200,Diesel,145,67.3,2.0,-0.33604124575134176
6766, 1 Series,2019,19850,Semi-Auto,8000,Petrol,145,54.3,1.5,0.9866265617590939
6767, 3 Series,2019,24591,Semi-Auto,9153,Diesel,145,60.1,2.0,-0.23167646786017004
6768, X2,2019,31991,Semi-Auto,8791,Diesel,145,61.4,2.0,1.973350300040355
6772, 1 Series,2017,19295,Automatic,22595,Petrol,200,39.8,3.0,1.452098816142677
6774, 4 Series,2017,25762,Automatic,23446,Diesel,145,49.6,3.0,-0.8486212811886297
6775, X5,2016,36602,Automatic,31525,Diesel,235,42.8,3.0,0.6387511766105387
6776, X6,2017,48482,Semi-Auto,19924,Petrol,145,25.4,4.4,-0.9899461053750104
6777, 5 Series,2014,16402,Semi-Auto,21880,Diesel,125,57.6,2.0,-0.1335159259618687
6781, X1,2017,19981,Semi-Auto,32286,Diesel,145,55.4,2.0,0.4059856834728325
6783, 1 Series,2019,24862,Semi-Auto,5810,Petrol,145,40.4,1.5,0.4842791875777516
6784, 6 Series,2015,23552,Semi-Auto,26797,Diesel,160,49.6,3.0,-0.2897068381818491
6785, 2 Series,2018,21512,Semi-Auto,9005,Diesel,145,65.7,2.0,-0.8820202481439342
6786, X1,2018,24161,Semi-Auto,9261,Petrol,145,44.8,2.0,-0.27976003708847214
6787, 5 Series,2014,12941,Semi-Auto,68489,Diesel,125,57.6,2.0,1.4831209278608957
6788, 1 Series,2017,15995,Semi-Auto,19164,Petrol,150,55.5,1.5,1.0347279677280512
6790, 4 Series,2017,18995,Manual,10594,Petrol,150,46.3,2.0,0.8254299011815563
6791, 1 Series,2019,17990,Semi-Auto,5900,Diesel,150,72.4,1.5,0.13907203052815223
6792, 5 Series,2019,24295,Semi-Auto,4982,Petrol,145,50.4,2.0,-0.03664936873285146
6793, X1,2017,21495,Semi-Auto,6550,Diesel,145,60.1,2.0,-1.519818682813557
6795, 7 Series,2017,26995,Semi-Auto,25050,Diesel,145,57.6,3.0,1.3820171145273954
6796, X6,2020,55890,Semi-Auto,9710,Diesel,145,34.9,3.0,-1.8422168048493337
6797, X2,2020,27890,Manual,10,Diesel,145,48.7,2.0,0.5582329445978688
6798, 2 Series,2020,28890,Semi-Auto,6000,Petrol,145,39.8,3.0,-0.44104295972289176
6799, 3 Series,2020,43995,Semi-Auto,2252,Petrol,145,34.9,3.0,-0.9108779682436292
6800, X4,2019,39500,Automatic,155,Diesel,145,40.9,3.0,0.034886709029566254
6801, 5 Series,2019,44995,Semi-Auto,1600,Diesel,145,51.4,3.0,1.6302619161434313
6802, 5 Series,2019,26870,Semi-Auto,8560,Petrol,145,50.4,2.0,-0.9682643835820446
6803, X2,2019,27806,Semi-Auto,2198,Petrol,145,36.2,2.0,0.31610717091763313
6804, X3,2019,55320,Automatic,7154,Petrol,145,24.8,3.0,-0.25661879484631045
6805, X2,2019,30960,Automatic,7021,Petrol,145,34.0,2.0,0.040093601434819354
6806, X5,2014,27581,Automatic,35881,Diesel,240,44.8,3.0,-0.6962773383024601
6807, 1 Series,2016,11941,Manual,29378,Petrol,30,56.5,1.5,0.08992308783658834
6808, 2 Series,2019,20746,Automatic,5063,Diesel,145,67.3,2.0,-0.7186523882223178
6809, X4,2019,34995,Semi-Auto,8098,Diesel,145,42.8,2.0,-1.1992589946425358
6810, X5,2018,50495,Semi-Auto,31855,Petrol,145,25.4,4.4,0.16749251891018052
6811, 1 Series,2019,29995,Semi-Auto,4591,Petrol,145,34.5,2.0,-1.7279917715919433
6812, 2 Series,2019,19994,Automatic,2268,Petrol,145,42.2,1.5,0.5534707439481699
6813, 1 Series,2019,27994,Semi-Auto,6879,Petrol,145,39.8,3.0,0.008254271338580114
6815, X2,2019,27890,Semi-Auto,2724,Petrol,145,38.7,2.0,0.20316473250966507
6816, 3 Series,2019,33995,Semi-Auto,3633,Petrol,145,41.5,2.0,-0.5042222055191672
6817, X3,2019,58994,Semi-Auto,3017,Petrol,145,24.8,3.0,-0.036710494945077964
6818, 1 Series,2019,28994,Semi-Auto,2973,Diesel,145,48.7,2.0,-1.8368241388748419
6819, 2 Series,2019,27016,Automatic,1402,Petrol,145,39.8,3.0,1.0086254232730214
